,reportDate,infDate,confDate,cullStart,cullEnd
452,2021-12-03,2021-11-21,2021-12-05,2021-12-07,
453,2021-12-03,,,,
454,2021-12-03,,,,
455,2021-12-03,,,,
456,2021-12-02,2021-11-26,2021-12-03,2021-12-09,
457,2021-12-02,2021-11-26,2021-12-03,2021-12-08,
458,2021-12-01,2021-11-25,2021-12-04,2021-12-05,
459,2021-12-01,2021-11-25,2021-12-02,2021-12-06,
460,2021-12-01,2021-11-18,2021-12-02,2021-12-04,
461,2021-12-01,2021-11-25,2021-12-02,2021-12-05,
462,2021-11-30,,,,
463,2021-11-29,2021-11-22,2021-11-30,2021-12-04,
464,2021-11-28,,,,
465,2021-11-27,,,,
466,2021-11-27,2021-11-22,2021-11-28,2021-12-03,
467,2021-11-26,,,,
468,2021-11-25,,,,
469,2021-11-24,2021-11-19,2021-11-25,2021-11-26,
470,2021-11-24,2021-11-19,2021-11-25,2021-12-02,
471,2021-11-24,2021-11-18,2021-11-26,2021-11-28,
472,2021-11-24,2021-11-14,2021-11-26,2021-11-28,
473,2021-11-23,,,,
474,2021-11-23,,,,
475,2021-11-23,2021-11-16,2021-11-25,2021-12-01,
476,2021-11-23,2021-11-18,2021-11-25,2021-12-03,
477,2021-11-23,,,,
478,2021-11-21,,,,
479,2021-11-21,,,,
480,2021-11-21,2021-11-16,2021-11-22,2021-11-28,
481,2021-11-21,,,,
482,2021-11-21,2021-11-17,2021-11-22,2021-11-26,
483,2021-11-20,2021-11-15,2021-11-21,2021-11-27,
484,2021-11-19,2021-11-12,2021-11-21,2021-11-22,
485,2021-11-19,2021-11-13,2021-11-20,2021-11-24,
486,2021-11-19,2021-11-15,2021-11-21,2021-11-21,
487,2021-11-17,2021-11-12,2021-11-21,2021-11-21,
488,2021-11-17,2021-11-13,2021-11-19,2021-11-19,
489,2021-11-16,2021-11-09,2021-11-17,2021-11-22,
490,2021-11-15,,,,
491,2021-11-14,2021-11-09,2021-11-16,2021-11-18,
492,2021-11-11,2021-11-04,2021-11-13,2021-11-21,
493,2021-11-11,2021-11-06,2021-11-12,2021-11-14,
494,2021-11-09,,,,
495,2021-11-09,2021-10-28,2021-11-11,2021-11-12,
496,2021-11-05,2021-10-30,2021-11-07,2021-11-07,
497,2021-11-05,,,,
498,2021-11-04,,,,
499,2021-11-01,2021-10-27,2021-11-03,2021-11-03,
500,2021-10-30,2021-10-19,2021-11-01,,
501,2021-10-24,2021-10-15,2021-10-27,2021-10-26,
502,2021-12-28,,,,
503,2021-10-05,,,,
518,2020-11-01,2020-10-21,2020-11-02,,
519,2020-11-11,2020-11-04,2020-11-12,,
520,2020-11-18,2020-11-08,2020-11-18,,
521,2020-11-19,2020-11-09,2020-11-21,,
522,2020-11-27,2002-11-22,2020-11-28,,
523,2020-12-01,2020-11-27,2020-12-01,,
524,2020-12-03,2020-11-27,2020-12-04,,
525,2020-12-04,2020-11-28,2020-12-05,,
526,2020-12-10,2020-11-17,2020-12-13,,
527,2020-12-13,2020-12-09,2020-12-15,,
528,2020-12-15,2020-12-09,2020-12-17,,
529,2020-12-15,2020-12-06,2020-12-17,,
530,2020-12-17,2020-12-12,2020-12-19,,
531,2020-12-17,2020-11-22,2020-12-19,,
532,2020-12-25,2020-12-07,2020-12-26,,
533,2020-12-26,2020-12-12,2020-12-28,,
534,2020-12-28,2020-12-19,2020-12-29,,
535,2021-01-26,2021-01-18,2021-01-27,,
536,2021-02-05,2021-01-30,2021-02-06,,
537,2021-02-10,2020-02-03,2021-02-11,,
538,2021-03-26,2021-03-18,2021-03-27,,
539,2021-03-30,2021-03-21,2021-04-01,,
